sequence,meridian,range,township,sheet,status,rows,index_files,index_multi_name_pct,even_quarters_with_file_pct,pages,settlement_era_proxy,rail_arrival,cpr_belt,near_reserve,band,infill_zone,lon,lat,note
1,W1,31,55,R31,empty,84,0,,0.0,7,no proxy,,no CPR land,True,T49+ (forest fringe),C,-101.9936,53.7587,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
2,W1,34,1,R34,names-only,120,45,31.0,73.0,12,pre-1890,,some CPR,False,T1-12 (south),,-101.9655,49.0435,
3,W1,34,4,R34,names-only,84,29,34.0,69.0,12,pre-1890,1892.0,some CPR,False,T1-12 (south),,-102.0014,49.3088,
4,W1,34,7,R34,names-only,48,21,19.0,88.0,12,pre-1890,1900.0,no CPR land,False,T1-12 (south),,-102.0301,49.5738,
5,W1,34,10,R34,names-only,48,20,5.0,83.0,12,pre-1890,1906.0,no CPR land,False,T1-12 (south),,-102.0307,49.8391,
6,W1,34,13,R34,empty,12,0,,0.0,2,pre-1890,1907.0,some CPR,False,T13-24,,-102.0636,50.1045,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
7,W2,1,25,R01,names-only,144,97,47.0,89.0,12,pre-1890,1889.0,no CPR land,False,T25-36,D,-102.0763,51.166,
8,W2,1,28,R01,names-only,144,64,17.0,88.0,12,pre-1890,1905.0,some CPR,False,T25-36,D,-102.0769,51.4312,
9,W2,1,31,R01,names-only,96,76,26.0,81.0,10,pre-1890,1905.0,no CPR land,True,T25-36,D,-102.0774,51.6635,
10,W2,1,34,R01,names-only,144,74,27.0,86.0,12,1906-10,1906.0,no CPR land,False,T25-36,D,-102.0776,51.9256,
11,W2,1,37,R01,names-only,144,55,47.0,39.0,12,no proxy,,no CPR land,False,T37-48 (parkland),D,-102.078,52.1874,
12,W2,1,40,R01,empty,144,0,,0.0,7,no proxy,,no CPR land,False,T37-48 (parkland),D,-102.0786,52.4493,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
13,W2,1,43,R01,empty,144,1,0.0,1.0,7,1890s,1900.0,no CPR land,False,T37-48 (parkland),D,-102.0792,52.7113,few homestead files — quick township
14,W2,1,46,R01,empty,144,2,0.0,0.0,11,1890s,1900.0,no CPR land,False,T37-48 (parkland),D,-102.0795,52.9732,few homestead files — quick township
15,W2,1,49,R01,empty,163,3,0.0,1.0,11,1906-10,1910.0,no CPR land,False,T49+ (forest fringe),C,-102.0793,53.2347,few homestead files — quick township
16,W2,1,52,R01,empty,144,0,,0.0,7,no proxy,,no CPR land,False,T49+ (forest fringe),C,-102.0798,53.4964,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
17,W2,1,55,R01,empty,144,0,,0.0,0,no proxy,,no CPR land,True,T49+ (forest fringe),C,-102.0812,53.7586,NOT PHOTOGRAPHED YET — no page images on the share
18,W2,4,1,R04,names-only,144,70,47.0,83.0,24,pre-1890,1893.0,CPR belt,False,T1-12 (south),,-102.4765,49.0432,
19,W2,4,4,R04,names-only,144,64,27.0,89.0,24,pre-1890,1892.0,CPR belt,False,T1-12 (south),,-102.4774,49.3045,
20,W2,4,7,R04,names-only,144,59,25.0,82.0,12,pre-1890,1901.0,CPR belt,False,T1-12 (south),,-102.4805,49.5662,
21,W2,4,22,R04,names-only,144,65,18.0,90.0,24,pre-1890,1907.0,no CPR land,False,T13-24,,-102.4941,50.9006,
22,W2,4,25,R04,names-only,144,60,25.0,69.0,25,pre-1890,1889.0,some CPR,False,T25-36,D,-102.4978,51.1659,
23,W2,4,28,R04,names-only,144,73,29.0,89.0,24,pre-1890,1911.0,some CPR,False,T25-36,D,-102.5017,51.4312,
24,W2,4,31,R04,names-only,96,41,12.0,85.0,24,1890s,1905.0,no CPR land,False,T25-36,D,-102.5027,51.6636,
25,W2,4,34,R04,names-only,144,72,18.0,89.0,24,1890s,1910.0,no CPR land,False,T25-36,D,-102.5028,51.9254,
26,W2,4,37,R04,names-only,144,48,48.0,40.0,24,1911+,1930.0,no CPR land,False,T37-48 (parkland),D,-102.506,52.1873,
27,W2,4,40,R04,empty,144,0,,0.0,10,1911+,1930.0,no CPR land,False,T37-48 (parkland),D,-102.5104,52.4495,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
28,W2,4,43,R04,empty,144,0,,0.0,12,1906-10,1930.0,no CPR land,False,T37-48 (parkland),D,-102.5147,52.7113,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
29,W2,4,46,R04,empty,144,1,0.0,1.0,12,1901-05,1905.0,no CPR land,False,T37-48 (parkland),D,-102.5146,52.9733,few homestead files — quick township
30,W2,4,49,R04,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-102.5153,53.2348,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
