station,province,lat,lon,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1923,1924,1925,1926,1927,1928,1929,1930,1939,1940,1941,1943
$St. Boniface,MANITOBA,49.875,-97.07972,,1540000,,,,,,,,,,,,,,,,,,,,,
* Brunkild,MANITOBA,49.59278,-97.57444,,,,,,0,,,,,,,,,,,,,,,,,
*Calgary,ALBERTA,51.04583,-114.0575,,,,,,2500000,,,,,,,,,,,,,,,,,
"*Edmonton..... (See pages 132, 151, 171 and 172)",ALBERTA,53.53444,-113.49028,,,,,,,,,,,,,,,,,,,,,,,30000
*Moose Jaw,ALBERTA,,,,,,,,3500000,,,,,,,,,,,,,,,,,
*Moose Jaw,BRITISH COLUMBIA,,,,,,3500000,,,,,,,,,,,,,,,,,,,
*Not Licensed,MANITOBA,,,23500,,,,,,,,,,,,,,,,,,,,,,
*Saskatoon,ALBERTA,,,,,,,,3500000,,,,,,,,,,,,,,,,,
*Saskatoon,BRITISH COLUMBIA,,,,,,3500000,,,,,,,,,,,,,,,,,,,
*St. Boniface,MANITOBA,49.875,-97.07972,,,0,,,,,,,,,,,,,,,,,,,,
-Froude,SASKATCHEWAN,49.67301,-103.28091,,,,,,,,,,,,,,,,,,,,,,75000,
1st Siding South of Melfort,SASKATCHEWAN,,,,30000,30000,,,,,,,,,,,,,,,,,,,,
1st Siding West of Tessier,SASKATCHEWAN,,,,30000,,,,,,,,,,,,,,,,,,,,,
2nd Siding South of Melfort,SASKATCHEWAN,,,,30000,,,,,,,,,,,,,,,,,,,,,
Abbey,SASKATCHEWAN,50.73664,-108.75758,,,90000,90000,120000,190000,190000,190000,160000,160000,160000,160000,160000,160000,160000,160000,160000,158000,197000,168000,168000,340000,170000
Abbott,SASKATCHEWAN,49.58337,-104.40054,,,,,,,,,,,,,,,,,,35000,35000,35000,35000,70000,35000
Abee,ALBERTA,54.23778,-113.02778,,,,,,,,,,,,,,,,,,,7000,30000,30000,60000,30000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,100000,130000,135000,125000,125000,,156000,161000,161000,161000,161000,196000,196000,211000,211000,195000,190000,205000,200000,201000,202000,404000,202000
Aberdeen.....✓,SASKATCHEWAN,52.32554,-106.29151,,,,,,145000,,,,,,,,,,,,,,,,,
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,,,,,,,,,,,,30000,30000,30000,30000,30000,30000,30000,35000,57500,57000,114000,57000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,148000,143000,138000,148000,148000,148000,148000,148000,148000,143000,143000,143000,143000,143000,153000,158000,158000,158000,160000,139000,130000,264000,132000
Academy,ALBERTA,50.85667,-114.04028,,,,,,,,,,,,,,,,,,,,20000,20000,40000,20000
Acadia Valley,ALBERTA,51.15694,-110.20972,,,,,,,,,,,,,,,35000,35000,75000,75000,75000,76000,140000,152000,76000
Acheson,ALBERTA,53.55028,-113.77472,,,,,,,,,,,,30000,30000,30000,30000,30000,60000,60000,60000,59000,91000,118000,61000
Acme,ALBERTA,51.49722,-113.50861,45000,45000,80000,80000,80000,113000,,169000,169000,167000,167000,167000,167000,167000,175000,192000,,192000,182000,181000,213000,372000,186000
Adair,SASKATCHEWAN,50.331,-103.169,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,60000,60000,55000,58000,63000,126000,63000
Adams,SASKATCHEWAN,50.46671,-104.86722,,,,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,65000,65000,60000,60000,59000,118000,59000
Adanac,SASKATCHEWAN,52.45285,-109.05628,105000,110000,100000,100000,100000,100000,100000,95904,95904,95904,95904,80904,80904,80904,81000,111000,113000,128000,13000,147900,141900,279800,139900
