station,province,lat,lon,coord_source,1911_n,1911_cap,1912_n,1912_cap,1913_n,1913_cap,1914_n,1914_cap,1915_n,1915_cap,1916_n,1916_cap,1917_n,1917_cap,1918_n,1918_cap,1919_n,1919_cap,1920_n,1920_cap,1921_n,1921_cap,1923_n,1923_cap,1924_n,1924_cap,1925_n,1925_cap,1926_n,1926_cap,1927_n,1927_cap,1928_n,1928_cap,1929_n,1929_cap,1930_n,1930_cap,1939_n,1939_cap,1940_n,1940_cap,1941_n,1941_cap,1943_n,1943_cap
$St. Boniface,MANITOBA,49.875,-97.07972,cgn_direct,,,6,1540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Brunkild,MANITOBA,49.59278,-97.57444,cgn_direct,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Calgary,ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,1,2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Edmonton..... (See pages 132, 151, 171 and 172)",ALBERTA,53.53444,-113.49028,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000
*Moose Jaw,ALBERTA,,,,,,,,,,,,,,1,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Moose Jaw,BRITISH COLUMBIA,,,,,,,,,,1,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Not Licensed,MANITOBA,,,,1,23500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Saskatoon,ALBERTA,,,,,,,,,,,,,,1,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Saskatoon,BRITISH COLUMBIA,,,,,,,,,,1,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*St. Boniface,MANITOBA,49.875,-97.07972,cgn_direct,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Froude,SASKATCHEWAN,49.67301,-103.28091,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,75000,,
