station,province,rows,status,lat,lon,n_neighbors,neighbor_spread_km,rail_dist_km
Leslie,SASKATCHEWAN,73,interpolated,50.466303,-105.717983,26694,182.1,
Leckford,SASKATCHEWAN,32,interpolated,51.581741,-106.213034,5221,172.2,
Adair,SASKATCHEWAN,30,interpolated,50.466303,-105.717983,26694,182.1,
Bradshaw,ALBERTA,30,interpolated,50.88,-112.866667,14055,155.7,
Howell,SASKATCHEWAN,29,interpolated,51.581741,-106.213034,5221,172.2,
Dobson,ALBERTA,29,interpolated,52.583889,-112.300833,1500,125.9,
Fort William,BRITISH COLUMBIA,28,interpolated,49.261111,-123.113889,171,16.0,
Veldt,ALBERTA,25,interpolated,50.88,-112.866667,14055,155.7,
Montreal,ONTARIO,24,interpolated,44.5014,-79.85847,27,92.7,
Duro,SASKATCHEWAN,22,interpolated,51.298542,-105.047323,2147,152.0,
Smith Spur,MANITOBA,22,interpolated,50.145,-99.683889,2225,108.6,
Berton,MANITOBA,21,interpolated,50.145,-99.683889,2225,108.6,
Enterprise,MANITOBA,21,interpolated,50.145,-99.683889,2225,108.6,
Hope Farm,MANITOBA,21,interpolated,50.145,-99.683889,2225,108.6,
Normanton,SASKATCHEWAN,21,interpolated,51.298542,-105.047323,2147,152.0,
Lenore Lake,SASKATCHEWAN,21,interpolated,51.581741,-106.213034,5221,172.2,
Radway Centre,ALBERTA,21,interpolated,52.583889,-112.300833,1500,125.9,
Jefferson,ALBERTA,21,interpolated,50.88,-112.866667,14055,155.7,
Birdview,SASKATCHEWAN,20,interpolated,51.581741,-106.213034,5221,172.2,
Pashley,ALBERTA,20,interpolated,50.88,-112.866667,14055,155.7,
Jamieson,ALBERTA,20,interpolated,50.88,-112.866667,14055,155.7,
Rainton,SASKATCHEWAN,18,interpolated,51.298542,-105.047323,2147,152.0,
Leach Siding,SASKATCHEWAN,18,interpolated,51.616727,-105.809146,17381,184.7,
Glenwoodville,ALBERTA,18,interpolated,50.88,-112.866667,14055,155.7,
Alcester,MANITOBA,17,interpolated,49.424444,-98.014444,318,80.8,
Bannerman,MANITOBA,17,interpolated,49.424444,-98.014444,318,80.8,
Desford,MANITOBA,17,interpolated,49.424444,-98.014444,318,80.8,
Fairburn,MANITOBA,17,interpolated,49.424444,-98.014444,318,80.8,
McKelvie,MANITOBA,17,interpolated,49.424444,-98.014444,318,80.8,
Astum,SASKATCHEWAN,17,interpolated,50.466303,-105.717983,26694,182.1,
Peoples,SASKATCHEWAN,16,interpolated,51.298542,-105.047323,2147,152.0,
Pollock's Siding,SASKATCHEWAN,16,interpolated,51.298542,-105.047323,2147,152.0,
Sevick,MANITOBA,16,interpolated,50.145,-99.683889,2225,108.6,
Gouvenour,SASKATCHEWAN,16,interpolated,50.466303,-105.717983,26694,182.1,
Rea,MANITOBA,15,interpolated,49.998889,-99.971944,208,55.4,
"West St. John, N.B",ONTARIO,15,interpolated,48.354336,-89.262676,322,8.8,
Varcoe,MANITOBA,15,interpolated,49.658611,-99.862778,7382,92.7,
Wassewa,MANITOBA,15,interpolated,50.145,-99.683889,2225,108.6,
Holder,SASKATCHEWAN,15,interpolated,51.581741,-106.213034,5221,172.2,
Bergman,MANITOBA,14,interpolated,49.424444,-98.014444,318,80.8,
Bradburn,MANITOBA,14,interpolated,49.424444,-98.014444,318,80.8,
Dunn,MANITOBA,14,interpolated,49.424444,-98.014444,318,80.8,
"West St. John, N.B",QUEBEC,14,interpolated,45.508822,-73.554077,9,0.0,
Baliol,SASKATCHEWAN,14,interpolated,50.466303,-105.717983,26694,182.1,
Aikens,SASKATCHEWAN,13,interpolated,50.466303,-105.717983,26694,182.1,
Magnus,MANITOBA,13,interpolated,49.424444,-98.014444,318,80.8,
Penrith,MANITOBA,13,interpolated,49.658611,-99.862778,7382,92.7,
Barbour,SASKATCHEWAN,13,interpolated,51.616727,-105.809146,17381,184.7,
Herbert,MANITOBA,13,interpolated,49.658611,-99.862778,7382,92.7,
Beaver River Crossing,ALBERTA,13,interpolated,52.834167,-112.572222,6568,125.6,
Aiktow,SASKATCHEWAN,12,interpolated,50.466303,-105.717983,26694,182.1,
Pitlochry,MANITOBA,12,interpolated,49.658611,-99.862778,7382,92.7,
Peigan,ALBERTA,12,interpolated,50.88,-112.866667,14055,155.7,
Arcola,MANITOBA,12,interpolated,49.658611,-99.862778,7382,92.7,
Morse,MANITOBA,12,interpolated,49.658611,-99.862778,7382,92.7,
Sintaluta,MANITOBA,12,interpolated,49.658611,-99.862778,7382,92.7,
Swift Current,MANITOBA,12,interpolated,49.658611,-99.862778,7382,92.7,
Prussia,SASKATCHEWAN,12,interpolated,50.466303,-105.717983,26694,182.1,
McLean Siding,MANITOBA,11,interpolated,50.145,-99.683889,2225,108.6,
Elswick,SASKATCHEWAN,11,interpolated,51.581741,-106.213034,5221,172.2,
Madill,MANITOBA,11,interpolated,49.658611,-99.862778,7382,92.7,
Lydden,SASKATCHEWAN,11,interpolated,51.298542,-105.047323,2147,152.0,
Deveron,SASKATCHEWAN,11,interpolated,50.466303,-105.717983,26694,182.1,
Viola,SASKATCHEWAN,11,interpolated,51.616727,-105.809146,17381,184.7,
Bott,ALBERTA,11,interpolated,50.88,-112.866667,14055,155.7,
Cupar,MANITOBA,11,interpolated,49.658611,-99.862778,7382,92.7,
Francis,MANITOBA,11,interpolated,49.658611,-99.862778,7382,92.7,
Markinch,MANITOBA,11,interpolated,49.658611,-99.862778,7382,92.7,
Milestone,MANITOBA,11,interpolated,49.658611,-99.862778,7382,92.7,
Oxbow,MANITOBA,11,interpolated,49.658611,-99.862778,7382,92.7,
Rouleau,MANITOBA,11,interpolated,49.658611,-99.862778,7382,92.7,
Noble,ALBERTA,10,interpolated,50.88,-112.866667,14055,155.7,
Lovat,SASKATCHEWAN,10,interpolated,51.581741,-106.213034,5221,172.2,
Drake,MANITOBA,10,interpolated,50.145,-99.683889,2225,108.6,
Pickthall,SASKATCHEWAN,10,interpolated,50.466303,-105.717983,26694,182.1,
Abernethy,MANITOBA,10,interpolated,49.658611,-99.862778,7382,92.7,
Drinkwater,MANITOBA,10,interpolated,49.658611,-99.862778,7382,92.7,
Fillmore,MANITOBA,10,interpolated,49.658611,-99.862778,7382,92.7,
Gainsboro,MANITOBA,10,interpolated,49.658611,-99.862778,7382,92.7,
Kisbey,MANITOBA,10,interpolated,49.658611,-99.862778,7382,92.7,
Lang,MANITOBA,10,interpolated,49.658611,-99.862778,7382,92.7,
Macoun,MANITOBA,10,interpolated,49.658611,-99.862778,7382,92.7,
Moosomin,MANITOBA,10,interpolated,49.658611,-99.862778,7382,92.7,
Pense,MANITOBA,10,interpolated,49.658611,-99.862778,7382,92.7,
Yellow Grass,MANITOBA,10,interpolated,49.658611,-99.862778,7382,92.7,
Noremac,SASKATCHEWAN,10,interpolated,51.581741,-106.213034,5221,172.2,
Port Arthur,BRITISH COLUMBIA,9,interpolated,49.261111,-123.113889,171,16.0,
Halliday,ALBERTA,9,interpolated,52.834167,-112.572222,6568,125.6,
Terence,MANITOBA,9,interpolated,50.236667,-99.730833,3772,114.8,
Factoria,SASKATCHEWAN,9,interpolated,51.616727,-105.809146,17381,184.7,
Horton,MANITOBA,9,interpolated,50.236667,-99.730833,3772,114.8,
Liege,MANITOBA,9,interpolated,50.236667,-99.730833,3772,114.8,
Minmar,MANITOBA,9,interpolated,50.236667,-99.730833,3772,114.8,
Armistice,ALBERTA,9,interpolated,52.834167,-112.572222,6568,125.6,
Ladstock,SASKATCHEWAN,9,interpolated,50.466303,-105.717983,26694,182.1,
Peacedale,SASKATCHEWAN,9,interpolated,51.616727,-105.809146,17381,184.7,
Alameda,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Creelman,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Glen Ewen,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Grayson,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Maple Creek,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Neville,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Prelate,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Prussia,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Rush Lake,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Sceptre,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Webb,MANITOBA,9,interpolated,49.658611,-99.862778,7382,92.7,
Station: 1,ONTARIO,9,interpolated,48.354336,-89.262676,322,8.8,
Winnipeg,,8,no_province_bbox,,,0,,
Ashdown,MANITOBA,8,interpolated,50.145,-99.683889,2225,108.6,
Coblenz,SASKATCHEWAN,8,interpolated,51.298542,-105.047323,2147,152.0,
Carlsberg,SASKATCHEWAN,8,interpolated,51.581741,-106.213034,5221,172.2,
Pollock Siding,SASKATCHEWAN,8,interpolated,51.298542,-105.047323,2147,152.0,
Elliott Siding,MANITOBA,8,interpolated,50.145,-99.683889,2225,108.6,
Terrence,MANITOBA,8,interpolated,50.145,-99.683889,2225,108.6,
Engen Siding,SASKATCHEWAN,8,interpolated,50.466303,-105.717983,26694,182.1,
Tataqua,SASKATCHEWAN,8,interpolated,50.466303,-105.717983,26694,182.1,
Factoria Siding,SASKATCHEWAN,8,interpolated,51.581741,-106.213034,5221,172.2,
Scope,ALBERTA,8,interpolated,50.88,-112.866667,14055,155.7,
Echo,SASKATCHEWAN,8,interpolated,50.466303,-105.717983,26694,182.1,
Hocy,SASKATCHEWAN,8,interpolated,51.616727,-105.809146,17381,184.7,
Hathaway Siding,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Agnew,MANITOBA,8,interpolated,50.236667,-99.730833,3772,114.8,
Christie,MANITOBA,8,interpolated,50.236667,-99.730833,3772,114.8,
Coatstone,MANITOBA,8,interpolated,50.236667,-99.730833,3772,114.8,
Roe,SASKATCHEWAN,8,interpolated,51.616727,-105.809146,17381,184.7,
Adanac,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Balcarres,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Duval,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Earl Grey,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Elbow,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Elfros,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Frobisher,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Glenside,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Govan,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Grand Coulee,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Keeler,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Kincaid,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
Lajord,MANITOBA,8,interpolated,49.658611,-99.862778,7382,92.7,
